id,song,artist,timestamp,isrc,release_date,tags
00068568.m4a,The News,PARTYNEXTDOOR,2021-01-18T22:52:47.957Z,USWB11902977,2019-11-20T00:00:00.000Z,R&B/SOUL
00044325.m4a,DNYIML,"Just Bella, André Nine, NOX",2021-01-18T22:52:47.957Z,BXNXI2000003,2020-04-16T00:00:00.000Z,INDIE POP
00048027.m4a,Flaws,Chloe Foy,2021-01-18T22:52:47.957Z,GBXY31300064,2017-05-11T00:00:00.000Z,ALTERNATIVE FOLK
00046784.m4a,Estamos Arriba,"Bad Bunny, Myke Towers",2021-01-18T22:52:47.957Z,QM6N21969039,2019-06-13T00:00:00.000Z,LATIN URBAN
00067178.m4a,Sun Queen,Gerry Cinnamon,2021-01-18T22:52:47.957Z,GBKPL1968557,2019-10-11T00:00:00.000Z,ALTERNATIVE
00063691.m4a,Road,"Lane 8, Arctic Lake",2021-01-18T22:52:47.957Z,GBEWA1902991,2020-01-09T00:00:00.000Z,DANCE
00072462.m4a,Wolves,Foehn Trio,2021-01-18T22:52:47.957Z,FRW711700401,2020-03-19T00:00:00.000Z,JAZZ
00058903.m4a,Never Leave You,WATTS,2021-01-18T22:52:47.957Z,TCAEO1938724,2019-12-20T00:00:00.000Z,POP
00046782.m4a,Estamo en Ley,"Yampi, Ozuna, Myke Towers",2021-01-18T22:52:47.957Z,QM6MZ2004839,2020-04-02T00:00:00.000Z,LATINO
00066109.m4a,Something Cosmic,RIZ LA VIE,2021-01-18T22:52:47.957Z,GBKPL2004573,2020-06-04T00:00:00.000Z,HIP-HOP/RAP
00068772.m4a,The Violence,Asking Alexandria,2021-01-18T22:52:47.957Z,USYFZ1915901,2019-07-10T00:00:00.000Z,METAL
00047713.m4a,Felices los 4,Maluma,2021-01-18T22:52:47.957Z,USSD11700134,2017-04-20T00:00:00.000Z,LATIN URBAN
00059542.m4a,No Vuelvas Más,Darell,2021-01-18T22:52:47.957Z,USSD11900403,2019-12-05T00:00:00.000Z,LATIN URBAN
00046655.m4a,Enemies,Mazy,2021-01-18T22:52:47.957Z,AUDCB1701151,2018-05-03T00:00:00.000Z,DANCE
00063434.m4a,Revenge,Joyner Lucas,2021-01-18T22:52:47.957Z,QM4TW2057334,2020-02-02T00:00:00.000Z,HIP-HOP/RAP
00050168.m4a,Habibo,Veysel,2021-01-18T22:52:47.957Z,DECE71800018,2018-06-28T00:00:00.000Z,HIP-HOP/RAP
00064309.m4a,Safe,Olivia Grace,2021-01-18T22:52:47.957Z,QZDA61869703,2018-08-16T00:00:00.000Z,ALTERNATIVE
00042113.m4a,COMMA$,LORD$OFDOGTOWN,2021-01-18T22:52:47.957Z,QZHN51939387,2019-10-08T00:00:00.000Z,HIP-HOP/RAP
00052844.m4a,If You Won’t,Rayana Jay,2021-01-18T22:52:47.957Z,USUYG1243899,2019-03-21T00:00:00.000Z,R&B/SOUL
00070411.m4a,Unsainted,Slipknot,2021-01-18T22:52:47.957Z,NLA321900089,2019-05-15T00:00:00.000Z,ROCK
00073922.m4a,make up,Ariana Grande,2021-01-18T22:52:47.957Z,USUM71900404,2019-02-07T00:00:00.000Z,POP
00073417.m4a,buzz cut,lovelytheband,2021-01-18T22:52:47.957Z,USQX92001386,2020-07-30T00:00:00.000Z,ALTERNATIVE
00051236.m4a,Hold You Dear,The Secret Sisters,2021-01-18T22:52:47.957Z,US27Q1947608,2019-12-25T00:00:00.000Z,AUTHOR-PERFORMER
00054733.m4a,Landing in SW9,Yasha,2021-01-18T22:52:47.957Z,UK6821801309,2018-05-31T00:00:00.000Z,ELECTRONIC
00058816.m4a,Neon,Julian Lamadrid,2021-01-18T22:52:47.957Z,USQX91901394,2019-08-02T00:00:00.000Z,POP
00071187.m4a,War & Famine,Ra Ra Riot,2021-01-18T22:52:47.957Z,QZEJY1800012,2019-07-12T00:00:00.000Z,ALTERNATIVE
00062380.m4a,Prisoner of Love,NZCA LINES,2021-01-18T22:52:47.957Z,GBCSG2000041,2020-06-04T00:00:00.000Z,ALTERNATIVE
00056485.m4a,Low Life,"Future, The Weeknd",2021-01-18T22:52:47.957Z,USSM11600557,2016-04-12T00:00:00.000Z,HIP-HOP/RAP
00042623.m4a,Cataleya,Samra,2021-01-18T22:52:47.957Z,DEFZ71800051,2018-11-08T00:00:00.000Z,HIP-HOP/RAP
00063756.m4a,Rolex,Ayo & Teo,2021-01-18T22:52:47.957Z,USSM11702948,2017-03-14T00:00:00.000Z,HIP-HOP/RAP
00066477.m4a,Spotlight,Oracle Sisters,2021-01-18T22:52:47.957Z,FR9W11916696,2019-08-20T00:00:00.000Z,ALTERNATIVE FOLK
00063211.m4a,Red Oceans,Nogymx,2021-01-18T22:52:47.957Z,QZHN31985237,2019-09-19T00:00:00.000Z,HIP-HOP/RAP
00058057.m4a,More Than Friends,Mokita,2021-01-18T22:52:47.957Z,NLF711905694,2019-07-05T00:00:00.000Z,POP
00068524.m4a,The Machine,Oliver Malcolm,2021-01-18T22:52:47.957Z,USUM72011694,2020-07-14T00:00:00.000Z,ALTERNATIVE
00041448.m4a,Boujee,Tizzy Stackz,2021-01-18T22:52:47.957Z,CH7811102382,2020-04-02T00:00:00.000Z,HIP-HOP/RAP
00064615.m4a,Say Something,"Justin Timberlake, Chris Stapleton",2021-01-18T22:52:47.957Z,USRC11703503,2018-01-24T00:00:00.000Z,POP
00053986.m4a,K-TOWN,"Jay Park, Hit-Boy",2021-01-18T22:52:47.957Z,QMJMT1902101,2019-05-17T00:00:00.000Z,HIP-HOP/RAP
00052928.m4a,Imperfections,Céline Dion,2021-01-18T22:52:47.957Z,CAC221900013,2019-09-18T00:00:00.000Z,POP
00049289.m4a,Give Me the Night,Des Rocs,2021-01-18T22:52:47.957Z,GBKPL1976085,2019-11-22T00:00:00.000Z,ALTERNATIVE
00054321.m4a,Kiss Me Sweetly,Calvin Johnson,2021-01-18T22:52:47.957Z,USK111826901,2018-07-25T00:00:00.000Z,ROCK INDIE
00056902.m4a,Make Me Feel,BigKlit,2021-01-18T22:52:47.957Z,QZFZ71986286,2019-08-27T00:00:00.000Z,HIP-HOP/RAP
00065832.m4a,So High,Baby Goth,2021-01-18T22:52:47.957Z,USUM71905867,2019-04-12T00:00:00.000Z,POP
00053646.m4a,Jeans,Justin Quiles,2021-01-18T22:52:47.957Z,USWL12000290,2020-08-14T00:00:00.000Z,LATINO
00051555.m4a,House Is A Feeling - Robbie Rivera Remix,"Tommy Capretto, Robbie Rivera",2021-01-18T22:52:47.957Z,GBKQU1983303,2019-09-26T00:00:00.000Z,HOUSE
00046212.m4a,Dying Breed,The Killers,2021-01-18T22:52:47.957Z,USUM72005114,2020-08-14T00:00:00.000Z,ALTERNATIVE
00049586.m4a,Gone,Blake Rose,2021-01-18T22:52:47.957Z,GBKPL2082864,2020-02-07T00:00:00.000Z,POP
00071553.m4a,Weigh You Down,Keelan Mak,2021-01-18T22:52:47.957Z,AUBEC1814632,2018-04-26T00:00:00.000Z,ELECTRONIC
00037974.m4a,Acuerdate,"Jeremy Moore, Manu Gonzalez",2021-01-18T22:52:47.957Z,UK74K1400490,2019-09-26T00:00:00.000Z,HOUSE
00052397.m4a,I Will Find,"Vintage Culture, Rooftime",2021-01-18T22:52:47.957Z,NLZ541801201,2018-09-27T00:00:00.000Z,DANCE
00054156.m4a,Kelly,Kelly Rowland,2021-01-18T22:52:47.957Z,QM24S1843852,2018-11-29T00:00:00.000Z,R&B/SOUL
00066754.m4a,Still Right Here,Frida Blomberg,2021-01-18T22:52:47.957Z,QZES72094617,2020-06-10T00:00:00.000Z,POP
