id,song,artist,title_key,artist_key,isrc,playlist_cummulative,highlow
00061857.m4a,Pink,Réelle,pink,reelle,AAA201804198,2,0
00045435.m4a,Do You Wrong,Moh Flow,doyouwrong,mohflow,AEA181700122,16,0
00057041.m4a,Manifest,CORIN,manifest,corin,AEA1B1700224,1,0
00068563.m4a,The New Flesh,CORIN,thenewflesh,corin,AEA1B1700225,1,0
00060501.m4a,One More Dance (with Alida),"R3HAB, Alida",onemoredancewithalida,r3hab,AEA2D2000002,710,1
00050623.m4a,Heart Is A Liar - Axollo Remix,"Jai Nova, Hilaire, Axollo",heartisaliaraxolloremix,jainova,AEUM71800064,11,0
00060896.m4a,Outer Space,Hadi,outerspace,hadi,AEUM72000090,8,0
00059082.m4a,Ni Idea,"Bicicletas, Zuker",niidea,bicicletas,ARA502000010,9,0
00059361.m4a,No Me Llores,"Duki, Leby",nomellores,duki,ARBEC1800065,76,0
00055006.m4a,Lebron,Duki,lebron,duki,ARBEC1800068,76,0
00051160.m4a,Hitboy,"Duki, KHEA",hitboy,duki,ARBEC1800076,111,0
00049811.m4a,Goteo,Duki,goteo,duki,ARBEC1900003,249,0
00049809.m4a,Goteo - Remix,"Duki, Ronny J, Pablo Chill-E, Capo Plaza, C",goteoremix,duki,AREZZ2000001,134,0
00057615.m4a,Mil Horas,Los Abuelos De La Nada,milhoras,losabuelosdelanada,ARF098300013,1283,1
00040478.m4a,Besarte Mucho,Lali,besartemucho,lali,ARF101800064,32,0
00060803.m4a,Otra Botella,"Neo Pistea, KHEA, Omar Varela",otrabotella,neopistea,ARF101800331,53,0
00067901.m4a,Te Olvidaré,"MYA, Pedro Capó",teolvidare,mya,ARF101900189,198,0
00039943.m4a,Bajo el Sol (De Tu Cultura Pop),Lucas & The Woods,bajoelsoldetuculturapop,lucasthewoods,ARF102000006,12,0
00041822.m4a,Bufón,Lit Killah,bufon,litkillah,ARF111800079,68,0
00065301.m4a,Si Te Vas,Lit Killah,sitevas,litkillah,ARF111800105,70,0
00039312.m4a,Aventura,"V-One, Mau y Ricky",aventura,vone,ARF111800129,31,0
00046376.m4a,Eclipse,Lit Killah,eclipse,litkillah,ARF111900052,74,0
00038164.m4a,Ain't No Sunshine - Late Night Jazz Mix,Karen Souza,aintnosunshinelatenightjazzmix,karensouza,ARF411701780,8,0
00063694.m4a,Roads,"Urban Love, Ivette Moraes",roads,urbanlove,ARF412000015,37,0
00057262.m4a,Me Vas a Extrañar - En Vivo,"Damas Gratis, Viru Kumbieron",mevasaextranarenvivo,damasgratis,ARF841800037,69,0
00054591.m4a,La Cobra,j mena,lacobra,jmena,ARG601900046,33,0
00062734.m4a,Quien Empezó,"j mena, Cazzu",quienempezo,jmena,ARG601900198,71,0
00042037.m4a,C90 (Remix),"John C, Neo Pistea, Bhavi, Trueno",c90remix,johnc,ARHXW1902272,141,0
00063506.m4a,Rich,KTEE,rich,ktee,ATB691900002,35,0
00046336.m4a,Easy on You,Marcus Cito,easyonyou,marcuscito,ATBO82000033,12,0
00061196.m4a,Palm Sugar Candy,Oren Ambarchi,palmsugarcandy,orenambarchi,ATE691926401,9,0
00047196.m4a,Face A,Golem Mecanique,facea,golemmecanique,ATE692003301,9,0
00045331.m4a,Divine,Good Wilson,divine,goodwilson,ATEM51920002,7,0
00049385.m4a,Glue,GIVVEN,glue,givven,ATFH82000201,32,0
00045299.m4a,Distant Universe,OSKA,distantuniverse,oska,ATFN42000020,23,0
00048012.m4a,Flash Tension,Luxus Varta,flashtension,luxusvarta,ATL711190011,3,0
00072613.m4a,Wouldn't You Rather,Alter Bridge,wouldntyourather,alterbridge,ATN261982402,64,0
