TRACK_ID	ARTIST_ID	isrc	PATH	isrc	TAGS
00051756.m4a		QZDA41867522	00051756.m4a	QZDA41867522	INDIE_RB
00049889.m4a		USUM71907205	00049889.m4a	USUM71907205	"MEME_RAP	MINNESOTA_HIP_HOP"
00067059.m4a		AUBM01800432	00067059.m4a	AUBM01800432	"AUSSIETRONICA	AUSTRALIAN_ELECTROPOP	AUSTRALIAN_INDIE"
00043737.m4a		USAT21906881	00043737.m4a	USAT21906881	SWEDISH_POP
00056079.m4a		DEWO51910068	00056079.m4a	DEWO51910068	DEEP_TROPICAL_HOUSE
00066753.m4a		QZHZ41908099	00066753.m4a	QZHZ41908099	"ALABAMA_RAP	HIP_HOP	POP_RAP"
00063822.m4a		NLG661900148	00063822.m4a	NLG661900148	"BASSHALL	DUTCH_HIP_HOP	DUTCH_POP"
00038616.m4a		USUM71805140	00038616.m4a	USUM71805140	"DETROIT_HIP_HOP	HIP_HOP	POP"
00043492.m4a		USWB11702296	00043492.m4a	USWB11702296	"ADULT_STANDARDS	LOUNGE	SOUL"
00074243.m4a		GBCEJ1900287	00074243.m4a	GBCEJ1900287	"FOLKPOP	INDIE_ANTHEMFOLK	INDIE_FOLK"
00056595.m4a		NLM5S1800211	00056595.m4a	NLM5S1800211	"BIG_ROOM	DEEP_BIG_ROOM	EDM"
00072136.m4a		CAK6J1910053	00072136.m4a	CAK6J1910053	INDIE_QUEBECOIS
00043781.m4a		USWB12001253	00043781.m4a	USWB12001253	"CANADIAN_HIP_HOP	POP	POP_RAP"
00064697.m4a		GBKPL1976068	00064697.m4a	GBKPL1976068	"REBEL_BLUES	SCOTTISH_ROCK"
00057382.m4a		US4KV1900001	00057382.m4a	US4KV1900001	"CALI_RAP	GANGSTER_RAP	HIP_HOP"
00066147.m4a		USCJY1863028	00066147.m4a	USCJY1863028	"ENGLISH_INDIE_ROCK	GARAGE_ROCK	MODERN_ALTERNATIVE_ROCK"
00039482.m4a		GBAHS1900940	00039482.m4a	GBAHS1900940	"POP	POP	UK_POP"
00065455.m4a		GBKPL1974751	00065455.m4a	GBKPL1974751	"ALTERNATIVE_RB	ELECTROPOP	INDIE_POPTIMISM"
00046884.m4a		USUM71813549	00046884.m4a	USUM71813549	"CONSCIOUS_HIP_HOP	DMV_RAP	HIP_HOP"
00064958.m4a		TCADT1887356	00064958.m4a	TCADT1887356	"INDIE_SOUL	INDIETRONICA	VAPOR_SOUL"
00067427.m4a		GBKPL1950023	00067427.m4a	GBKPL1950023	"DANCE_POP	ELECTROPOP	ESCAPE_ROOM"
00058061.m4a		NLW4L1900180	00058061.m4a	NLW4L1900180	"BIG_ROOM	DUTCH_HOUSE	EDM"
00046981.m4a		QM4TW2082862	00046981.m4a	QM4TW2082862	"EDM	VAPOR_TWITCH	INDIE_ELECTROPOP"
00064368.m4a		DENG51900291	00064368.m4a	DENG51900291	GERMAN_JAZZ
00055187.m4a		USHR12040322	00055187.m4a	USHR12040322	"DANCE_POP	ELECTROPOP	POP"
00042143.m4a		QZD5H2000249	00042143.m4a	QZD5H2000249	"ALTERNATIVE_HIP_HOP	ESCAPE_ROOM	EXPERIMENTAL_HIP_HOP"
00038067.m4a		USNO11900402	00038067.m4a	USNO11900402	INDIE_JAZZ
00049900.m4a		ZZOPM1900868	00049900.m4a	ZZOPM1900868	"DANCE_POP	HIP_POP	POP"
00043056.m4a		USUG11904285	00043056.m4a	USUG11904285	"DANCE_POP	POP	POSTTEEN_POP"
00069183.m4a		GBMEF1801147	00069183.m4a	GBMEF1801147	"BRITISH_JAZZ	INDIE_JAZZ	INDIE_SOUL"
00069808.m4a		GBLV61807761	00069808.m4a	GBLV61807761	"BIG_ROOM	CIRCUIT	DISCO_HOUSE"
00057887.m4a		USUM71906971	00057887.m4a	USUM71906971	"LATIN	LATIN_HIP_HOP	POP"
00059218.m4a		GBMEF1901162	00059218.m4a	GBMEF1901162	"CHAMBER_PSYCH	INDIE_JAZZ"
00046302.m4a		USUG11902801	00046302.m4a	USUG11902801	"BOY_BAND	DANCE_POP	POP"
00058655.m4a		USUM71822351	00058655.m4a	USUM71822351	"LATIN	LATIN_POP	POP"
00039985.m4a		GBKPL1807678	00039985.m4a	GBKPL1807678	"ALTERNATIVE_RB	INDIE_RB"
00052896.m4a		GBARL1800848	00052896.m4a	GBARL1800848	"DANCE_POP	DANISH_POP	ELECTROPOP"
00065886.m4a		GBKPL2088147	00065886.m4a	GBKPL2088147	"INDIE_ANTHEMFOLK	INDIE_FOLK	VAPOR_SOUL"
00054439.m4a		USLD91713386	00054439.m4a	USLD91713386	"BASS_HOUSE	DEEP_GROOVE_HOUSE	EDM"
00064350.m4a		GBKEE2000271	00064350.m4a	GBKEE2000271	"DANCE_POP	ELECTROPOP	POP"
00062697.m4a		QZK6N1963334	00062697.m4a	QZK6N1963334	BALTIMORE_INDIE
00059012.m4a		USRC11803636	00059012.m4a	USRC11803636	"BOY_BAND	DANCE_POP"
00062789.m4a		USUM71813833	00062789.m4a	USUM71813833	"POP_RAP	RAP"
00068725.m4a		USWB12000131	00068725.m4a	USWB12000131	"CONTEMPORARY_COUNTRY	COUNTRY_POP"
00056968.m4a		USSM11905357	00056968.m4a	USSM11905357	FOLKPOP
00050405.m4a		QMB621901017	00050405.m4a	QMB621901017	"ALTERNATIVE_RB	DANCE_POP	DEEP_POP_RB"
00050246.m4a		USWB11901423	00050246.m4a	USWB11901423	"PIXIE	POP_EMO	POP_PUNK"
00046823.m4a		CABM01900010	00046823.m4a	CABM01900010	CANADIAN_FOLK
00054435.m4a		QZFPL1900207	00054435.m4a	QZFPL1900207	"ELECTRO_HOUSE	HOUSE"
00064499.m4a		GBKPL1954251	00064499.m4a	GBKPL1954251	BEDROOM_SOUL
00038887.m4a		NLZ541800173	00038887.m4a	NLZ541800173	"BIG_ROOM	DEEP_BIG_ROOM	EDM"
00067162.m4a		USUM71901208	00067162.m4a	USUM71901208	"ALTERNATIVE_RB	INDIE_RB	INDIE_SOUL"
00052733.m4a		USAT22003826	00052733.m4a	USAT22003826	"BEDROOM_SOUL	INDIE_RB	POP"
00058202.m4a		QZHN51996726	00058202.m4a	QZHN51996726	BOSTON_HIP_HOP
00038811.m4a		USC4R1907159	00038811.m4a	USC4R1907159	"CHAMBER_POP	DEEP_NEW_AMERICANA	FOLKPOP"
00052345.m4a		QZES81904857	00052345.m4a	QZES81904857	EMO_RAP
00068248.m4a		GBUM71901016	00068248.m4a	GBUM71901016	"MODERN_ROCK	NORTH_EAST_ENGLAND_INDIE"
00062886.m4a		NLW4L1800077	00062886.m4a	NLW4L1800077	"BIG_ROOM	DUTCH_HOUSE	EDM"
00040552.m4a		USUG11900503	00040552.m4a	USUG11900503	"DANCE_POP	ELECTROPOP	INDIE_POPTIMISM"
00073993.m4a		SE5VF1900783	00073993.m4a	SE5VF1900783	"INDIE_POP_RAP	POP	POP_RAP"
00063799.m4a		GBCFB1900024	00063799.m4a	GBCFB1900024	"ALTERNATIVE_RB	INDIE_JAZZ	INDIE_RB"
00043520.m4a		USA2P1921106	00043520.m4a	USA2P1921106	"INDIE_POP	INDIE_POPTIMISM	MODERN_ROCK"
00039716.m4a		USUM71805992	00039716.m4a	USUM71805992	"DANCE_POP	POP	POSTTEEN_POP"
00066075.m4a		NL1TK2000011	00066075.m4a	NL1TK2000011	DUTCH_POP
00046873.m4a		QZMEM2059262	00046873.m4a	QZMEM2059262	"BEDROOM_POP	INDIE_GARAGE_ROCK	ROCHESTER_MN_INDIE"
00065784.m4a		GBARL1702276	00065784.m4a	GBARL1702276	UK_POP
00061018.m4a		USUYG1337595	00061018.m4a	USUYG1337595	"FLORIDA_RAP	SOUTHERN_HIP_HOP"
00045757.m4a		USUM71904421	00045757.m4a	USUM71904421	NEW_ORLEANS_JAZZ
00045780.m4a		QM24S2001158	00045780.m4a	QM24S2001158	"AUSTRALIAN_DANCE	ELECTRO_HOUSE"
00067249.m4a		UK3DE1800003	00067249.m4a	UK3DE1800003	INDIE_PUNK
00074419.m4a		DEWZ11900018	00074419.m4a	DEWZ11900018	"GERMAN_HIP_HOP	ALBANIAN_HIP_HOP	GERMAN_HIP_HOP"
00061952.m4a		USUM71919639	00061952.m4a	USUM71919639	"POP	POP_RAP	RAP"
00046763.m4a		PL42G1900004	00046763.m4a	PL42G1900004	"ACID_JAZZ	JAZZTRONICA	NINJA"
00056266.m4a		USRC12000373	00056266.m4a	USRC12000373	"HIP_POP	NEO_SOUL	POP"
00044447.m4a		DK4YA2071801	00044447.m4a	DK4YA2071801	"BIG_ROOM	DEEP_BIG_ROOM	DUTCH_HOUSE"
00051866.m4a		USAT22004717	00051866.m4a	USAT22004717	"DANCE_POP	POP"
00062290.m4a		GBAHT1800405	00062290.m4a	GBAHT1800405	"MODERN_ROCK	PERMANENT_WAVE	PIANO_ROCK"
00064441.m4a		USAT21902376	00064441.m4a	USAT21902376	"MELODIC_RAP	PHILLY_RAP	RAP"
00056437.m4a		AUFF01900103	00056437.m4a	AUFF01900103	"AUSTRALIAN_ALTERNATIVE_POP	AUSTRALIAN_HIP_HOP	AUSTRALIAN_INDIE"
00073056.m4a		SEXCG1700102	00073056.m4a	SEXCG1700102	SCANDIPOP
00071967.m4a		CAN111700009	00071967.m4a	CAN111700009	"INDIE_ANTHEMFOLK	INDIE_FOLK"
00069572.m4a		USUM71800986	00069572.m4a	USUM71800986	"ATL_HIP_HOP	POP	POP_RAP"
00063243.m4a		USRC11802688	00063243.m4a	USRC11802688	"CONTEMPORARY_COUNTRY	COUNTRY_POP"
00056863.m4a		USUM72001652	00056863.m4a	USUM72001652	"ELECTROPOP	INDIE_ELECTROPOP	INDIE_POPTIMISM"
00058572.m4a		DEXW11900001	00058572.m4a	DEXW11900001	GERMAN_HIP_HOP
00051745.m4a		USUM71809185	00051745.m4a	USUM71809185	"CHICAGO_RAP	POP_RAP	RAP"
00044159.m4a		USWL12000171	00044159.m4a	USWL12000171	"DANCE_POP	LATIN	LATIN_POP"
