TRACK_ID	ARTIST_ID	isrc	PATH	isrc.1	TAGS
00060316.m4a	Terrell Hines	USUG12002011	00060316.m4a	USUG12002011	low_performing
00071387.m4a	Fintan	GBKPL1960244	00071387.m4a	GBKPL1960244	low_performing
00043699.m4a	Bladverk Band	SE5Q51901290	00043699.m4a	SE5Q51901290	low_performing
00046092.m4a	Tujamo, Lukas Vane	NLZ541901323	00046092.m4a	NLZ541901323	low_performing
00045939.m4a	Throttle	CA6D21900173	00045939.m4a	CA6D21900173	low_performing
00037947.m4a	Dave Winnel	NLF711811027	00037947.m4a	NLF711811027	low_performing
00038056.m4a	Half Gringa	QZM2N2000004	00038056.m4a	QZM2N2000004	low_performing
00055666.m4a	Sofía Valdés	USWB12002978	00055666.m4a	USWB12002978	low_performing
00057987.m4a	A Boogie Wit da Hoodie	USAT21904797	00057987.m4a	USAT21904797	high_performing
00059177.m4a	Lawn	QM6N22036000	00059177.m4a	QM6N22036000	low_performing
00051132.m4a	Lil Loaded	USSM12001187	00051132.m4a	USSM12001187	low_performing
00043227.m4a	Adam Lambert	USUYG1268719	00043227.m4a	USUYG1268719	low_performing
00050524.m4a	Alan Fitzpatrick, Patrice Rushen	GBAYE2000096	00050524.m4a	GBAYE2000096	low_performing
00061405.m4a	Alexina	QM4TX1989256	00061405.m4a	QM4TX1989256	low_performing
00048876.m4a	Paul van Dyk, Vini Vici	BEK011900533	00048876.m4a	BEK011900533	low_performing
00051273.m4a	Drinker, Kyson	GBKPL1939680	00051273.m4a	GBKPL1939680	low_performing
00059405.m4a	Band of Horses	QM24S1806656	00059405.m4a	QM24S1806656	low_performing
00053209.m4a	EMAN8	USDXS1901284	00053209.m4a	USDXS1901284	low_performing
00053638.m4a	Khamari	QZES92006656	00053638.m4a	QZES92006656	low_performing
00062440.m4a	Calvin Harris, Sam Smith, Jessie Reyez	GBARL1801049	00062440.m4a	GBARL1801049	high_performing
00072952.m4a	Alex Holmes, Cylink	FRIDO1811240	00072952.m4a	FRIDO1811240	low_performing
00047129.m4a	JAHMED	NLRD51952581	00047129.m4a	NLRD51952581	low_performing
00046761.m4a	Tora	QM6N22029240	00046761.m4a	QM6N22029240	low_performing
00043125.m4a	Jockstrap	GBBPW2000068	00043125.m4a	GBBPW2000068	low_performing
00045764.m4a	All Things Blue	TCAEC1991137	00045764.m4a	TCAEC1991137	low_performing
